ID;1.vs.22;2.vs.23;3.vs.24;4.vs.25;5.vs.26;6.vs.27;7.vs.28;8.vs.29;9.vs.30;10.vs.31;11.vs.32;12.vs.33;13.vs.34;14.vs.35;15.vs.36;16.vs.37;17.vs.38;18.vs.39;19.vs.40;20.vs.41;21.vs.42
Q0GJJ2;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0
W5ALC0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
W5AVS5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
A0A341R0L4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
A0A080YU48;1;0;1;0;0;0;1;1;1;0;0;0;1;0;1;1;1;1;0;0;1
A0A1D5TKM2;1;1;0;0;0;1;1;1;0;0;1;1;1;1;0;0;1;0;1;0;1
A0A3B6AUX7;1;1;0;0;0;1;1;1;0;0;1;1;1;1;0;0;1;0;1;0;1
A0A3B6AUB6;1;1;0;0;0;1;1;1;0;0;1;1;1;1;0;0;1;0;1;0;1
A0A3B6C5L4;1;1;0;0;0;1;1;1;0;0;1;1;1;1;0;0;1;0;1;0;1
A0A3B6D5W5;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
A4ZCD1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
A0A3B6BZ20;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
A0A1D5V1L1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
A0A1D5W940;1;0;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0
A0A2R2Y441;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A0A3B6SIV9;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0
A0A2X0S5Q2;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0
A0A3B5XW30;1;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0
A0A3B6LDF3;1;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0
A0A3B5XXH8;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
A0A3B5ZQL0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
A0A3B5YUA2;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
A0A3B5XWK2;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
A0A3B5ZS63;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Q03389;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
A0A3B5YVA7;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
A0A3B5XXU1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
A0A3B5XZ03;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
A0A3B5YYA2;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0
A0A3B5ZVA3;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0
A0A3B5YZF8;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0
A0A3B5Y1E9;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0
A0A3B5Y1B0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0
A0A3B5ZWT5;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0
A0A3B5Y2T9;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0
A0A3B5YZS5;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0
A0A3B5Z0W8;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0
A0A3B5Y2W1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1
A0A3B5YZ25;1;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1
A0A3B5ZW34;1;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1
Q75QN9;1;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1
A0A3B5Y1S1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1
A0A3B5Y622;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A0A3B6A296;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A0A3B5Z543;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A0A3B5ZNL0;1;0;1;0;1;0;0;1;1;0;1;0;1;1;1;1;0;1;0;0;1
A0A3B5YRR4;1;0;1;0;1;0;0;1;1;0;1;0;1;1;1;1;0;1;0;0;1
A0A3B5XUK9;1;0;1;0;1;0;0;1;1;0;1;0;1;1;1;1;0;1;0;0;1
A0A3B5ZU43;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
A0A3B5ZVW7;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
A0A3B5YYG8;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
A0A3B5ZUM9;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
A0A3B5YXG7;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
A0A3B5ZVT1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
A0A3B5YX53;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
A0A3B5YY75;1;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0
A0A3B5ZZ39;1;0;0;0;1;1;0;0;1;1;1;0;1;0;0;0;0;0;1;0;1
A0A3B5Z2H6;1;0;0;0;1;1;0;0;1;1;1;0;1;0;0;0;0;0;1;0;1
A0A3B5Z341;1;0;1;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0
